functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,PBE band gap,μ,μĀ,μ𝐵 ̅,t
Ca2MnNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,3,Nb,0.09,0.09,-4.53,26.80,690.60,1.73,-2.79,0.03,1.58,0.27,2.49,68.10,18.10,0.00,0.46,0.00,0.00,0.949
Ca2MnReO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,2,Re,0.47,0.47,-4.91,21.45,738.85,2.15,-3.21,0.17,1.73,0.23,2.45,27.91,-22.09,0.00,0.49,0.00,0.10,0.927
Ca2MnRuO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,4,Ru,0.43,0.43,-4.01,3.15,714.25,0.23,-0.83,0.33,1.88,0.19,2.41,75.50,25.50,0.00,0.41,0.00,0.03,0.981
Ca2MnSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,3,Sb,0.19,0.19,-4.64,58.15,775.55,0.25,-0.81,0.25,1.80,0.23,1.99,75.50,25.50,0.00,0.44,0.00,0.02,0.958
Ca2MnTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,3,Ta,0.40,0.40,-4.05,21.95,739.35,1.24,-2.30,0.03,1.53,0.28,2.51,40.50,-9.50,0.00,0.46,0.00,0.00,0.949
Ca2MnTeO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,2,Te,0.75,0.75,-5.20,75.90,793.30,0.25,-0.81,0.28,1.83,0.28,1.95,120.10,70.10,0.00,0.50,0.00,0.10,0.925
Ca2MnWO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,2,W,0.03,0.03,-4.48,26.30,743.70,1.67,-2.73,0.40,1.96,0.26,2.48,64.30,14.30,0.01,0.51,0.00,0.08,0.916
Ca2NaIO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Na,1,I,2.17,2.17,-4.92,256.30,752.10,0.09,-0.64,0.87,1.80,0.53,2.12,121.15,174.05,2.58,0.55,0.00,0.18,0.891
Ca2NdNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Nd,3,Nb,0.82,0.82,-3.80,67.05,596.75,0.82,-3.70,0.23,1.37,0.62,3.38,38.40,47.80,2.83,0.58,0.00,0.12,0.876
Ca2NdSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Nd,3,Sb,0.92,0.92,-3.90,152.00,681.70,1.16,-1.72,0.45,1.59,1.11,2.88,45.80,55.20,2.95,0.57,0.00,0.14,0.884
Ca2NdTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Nd,3,Ta,0.34,0.34,-3.32,115.80,645.50,0.33,-3.21,0.18,1.32,0.60,3.39,10.80,20.20,3.11,0.58,0.00,0.12,0.876
Ca2NiOsO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ni,2,Os,0.79,0.79,-5.25,51.35,788.05,0.23,-0.98,0.15,2.06,0.23,2.42,3.00,109.00,0.00,0.44,0.00,0.05,0.960
Ca2NiReO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ni,2,Re,0.46,0.46,-4.92,11.80,748.50,2.30,-3.05,0.01,1.90,0.25,2.43,53.09,58.91,0.00,0.44,0.00,0.05,0.959
Ca2PdWO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Pd,3,W,0.24,0.24,-4.26,17.35,787.35,0.53,-3.88,0.08,2.28,0.14,2.59,12.45,66.15,0.00,0.49,0.00,0.05,0.927
Ca2PrNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Pr,3,Nb,0.78,0.78,-3.84,70.40,593.40,0.78,-3.73,0.24,1.37,0.86,3.62,37.83,48.37,2.82,0.58,0.00,0.13,0.875
Ca2PrSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Pr,3,Sb,0.89,0.89,-3.94,155.35,678.35,1.20,-1.76,0.46,1.59,1.36,3.12,45.23,55.77,2.89,0.57,0.00,0.14,0.883
Ca2PrTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Pr,3,Ta,0.30,0.30,-3.35,119.15,642.15,0.29,-3.25,0.19,1.32,0.85,3.64,10.23,20.77,3.02,0.58,0.00,0.13,0.875
Ca2ScNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sc,3,Nb,0.66,0.66,-3.95,16.40,647.40,0.66,-3.85,0.12,1.48,0.00,2.76,34.05,52.15,2.65,0.49,0.00,0.04,0.926
Ca2ScReO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sc,3,Re,1.05,1.05,-4.34,64.65,695.65,1.08,-4.27,0.27,1.63,0.03,2.72,6.14,11.96,0.00,0.47,0.00,0.06,0.939
Ca2ScSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sc,3,Sb,0.77,0.77,-4.06,101.35,732.35,1.32,-1.87,0.34,1.71,0.49,2.26,41.45,59.55,3.67,0.48,0.00,0.05,0.935
Ca2ScTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sc,3,Ta,0.18,0.18,-3.47,65.15,696.15,0.18,-3.37,0.07,1.43,0.02,2.77,6.45,24.55,3.14,0.49,0.00,0.04,0.926
Ca2SiTiO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Si,4,Ti,0.14,0.14,-4.22,64.25,722.25,1.88,-2.34,0.18,1.72,0.58,2.00,63.00,70.60,2.36,0.36,0.00,0.07,1.018
Ca2SmNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sm,3,Nb,0.91,0.91,-3.71,60.30,603.50,0.91,-3.60,0.22,1.39,0.69,3.45,35.29,50.92,2.84,0.57,0.00,0.11,0.881
Ca2SmSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sm,3,Sb,1.02,1.02,-3.81,145.25,688.45,1.07,-1.63,0.44,1.61,1.19,2.95,42.69,58.32,3.05,0.56,0.00,0.13,0.889
Ca2SmTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Sm,3,Ta,0.43,0.43,-3.22,109.05,652.25,0.42,-3.12,0.17,1.34,0.67,3.47,7.69,23.32,3.26,0.57,0.00,0.11,0.881
Ca2TbNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tb,3,Nb,1.07,1.07,-3.55,49.70,614.10,1.07,-3.44,0.25,1.35,0.57,3.33,36.77,49.44,2.86,0.56,0.00,0.10,0.888
Ca2TbSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tb,3,Sb,1.17,1.17,-3.66,134.65,699.05,0.91,-1.47,0.47,1.58,1.06,2.83,44.17,56.84,3.18,0.54,0.00,0.12,0.896
Ca2TbTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tb,3,Ta,0.58,0.58,-3.07,98.45,662.85,0.58,-2.96,0.20,1.30,0.55,3.34,9.17,21.84,3.36,0.56,0.00,0.10,0.888
Ca2TiRuO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ti,4,Ru,0.39,0.39,-3.98,26.55,684.55,1.82,-2.41,0.33,1.87,0.01,2.59,46.70,54.30,0.03,0.44,0.00,0.01,0.963
Ca2TmNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tm,3,Nb,1.29,1.29,-3.33,33.75,630.05,1.30,-3.22,0.18,1.43,0.42,3.18,6.40,92.60,2.86,0.54,0.00,0.09,0.897
Ca2TmSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tm,3,Sb,1.39,1.39,-3.43,118.70,715.00,0.68,-1.24,0.40,1.65,0.92,2.68,1.00,100.00,3.27,0.53,0.00,0.10,0.905
Ca2TmTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Tm,3,Ta,0.81,0.81,-2.85,82.50,678.80,0.81,-2.73,0.13,1.38,0.41,3.20,34.00,65.00,3.40,0.54,0.00,0.09,0.897
Ca2VDyO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,5,Dy,0.98,0.98,-3.49,39.05,611.25,1.06,-3.30,0.20,1.42,0.62,3.05,8.37,42.33,1.32,0.52,0.00,0.13,0.911
Ca2VErO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,5,Er,1.16,1.16,-3.31,30.85,619.45,1.11,-3.25,0.19,1.44,0.60,3.03,10.30,40.40,1.32,0.51,0.00,0.13,0.916
Ca2VHoO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,5,Ho,1.10,1.10,-3.37,34.75,615.55,1.06,-3.31,0.20,1.43,0.61,3.04,9.05,41.66,1.32,0.51,0.00,0.13,0.914
Ca2VMoO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,4,Mo,0.12,0.12,-4.35,17.30,667.60,0.14,-4.22,0.27,1.90,0.15,2.58,10.65,61.35,0.00,0.44,0.00,0.03,0.962
Ca2VNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,3,Nb,0.07,0.07,-4.54,6.75,657.05,0.07,-4.44,0.01,1.62,0.16,2.59,17.75,68.45,0.00,0.46,0.00,0.00,0.950
Ca2VTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,3,Ta,0.41,0.41,-4.06,55.50,705.80,0.41,-3.95,0.06,1.57,0.18,2.61,9.85,40.85,0.00,0.46,0.00,0.00,0.950
Ca2VTbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,5,Tb,0.99,0.99,-3.48,42.95,607.35,0.99,-3.37,0.26,1.37,0.73,3.16,19.02,31.69,1.33,0.52,0.00,0.14,0.909
Ca2VTmO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,V,5,Tm,1.21,1.21,-3.26,27.00,623.30,1.22,-3.14,0.19,1.44,0.59,3.02,24.15,74.85,1.31,0.51,0.00,0.12,0.918
Ca2YbNbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Yb,3,Nb,0.79,0.79,-3.82,30.20,633.60,1.71,-2.81,0.25,1.35,0.42,3.18,44.07,42.14,0.00,0.54,0.00,0.08,0.899
Ca2YbSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Yb,3,Sb,0.90,0.90,-3.93,115.15,718.55,0.27,-0.83,0.47,1.58,0.91,2.68,51.47,49.54,0.00,0.52,0.00,0.10,0.908
Ca2YbTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Yb,3,Ta,0.31,0.31,-3.34,78.95,682.35,1.22,-2.32,0.20,1.30,0.40,3.19,16.47,14.54,0.00,0.54,0.00,0.08,0.899
Ca2YSbO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Y,3,Sb,1.13,1.13,-3.69,109.05,724.65,0.94,-1.49,0.41,1.63,0.59,2.35,35.70,65.30,3.23,0.54,0.00,0.11,0.901
Ca2YTaO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Y,3,Ta,0.55,0.55,-3.11,72.85,688.45,0.56,-2.99,0.14,1.36,0.07,2.87,0.70,30.30,3.36,0.55,0.00,0.09,0.893
Ca2ZnMoO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Zn,2,Mo,0.87,0.87,-5.11,110.75,795.65,1.48,-2.60,0.26,1.91,0.42,2.30,65.00,7.00,1.82,0.48,0.00,0.05,0.938
Ca2ZnTeO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Zn,2,Te,0.01,0.01,-5.97,18.60,887.80,0.28,-0.84,0.23,1.88,0.10,1.78,124.10,66.10,1.33,0.46,0.00,0.06,0.945
Ca2ZnWO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Zn,2,W,0.74,0.74,-5.24,68.20,838.20,1.65,-2.76,0.36,2.01,0.43,2.31,68.30,10.30,2.69,0.48,0.00,0.05,0.936
Ca2ZrHfO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Zr,4,Hf,0.45,0.45,-3.22,7.70,667.70,0.37,-3.14,0.02,1.32,0.04,2.87,12.05,29.05,3.41,0.51,0.00,0.00,0.916
Ca2ZrMnO6,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Zr,4,Mn,0.39,0.39,-4.06,28.70,688.70,1.22,-2.28,0.11,1.44,0.30,2.52,45.55,-4.45,1.34,0.45,0.00,0.07,0.957
CaAgTaAuO6,Ca,2,Ag,2,0.32,-4.09,70.60,660.40,0.61,-1.34,0.46,1.46,0.31,2.69,61.67,64.04,Ta,5,Au,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.06,0.53,0.02,0.08,0.911
CaCeO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ce,4,Ce,0.00,0.00,0.00,0.00,527.80,0.00,0.00,0.00,1.12,0.00,4.50,0.00,50.00,2.29,0.62,0.00,0.00,0.854
CaCO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,C,4,C,0.00,0.00,-5.28,0.00,1086.40,0.00,-0.30,0.00,2.55,0.00,0.64,0.00,121.90,0.01,0.11,0.00,0.00,1.242
CaCrO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Cr,4,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.39,0.00,0.00,0.994
CaCsCrInO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Cr,6,In,0.95,0.95,-3.47,47.25,605.55,1.93,-2.42,0.06,1.72,0.20,2.25,13.63,50.67,0.65,0.44,0.19,0.13,1.054
CaCsReAlO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Al,1.34,1.34,-4.05,91.35,668.95,2.46,-2.90,0.14,1.76,0.50,2.18,19.09,24.91,0.00,0.39,0.19,0.01,1.096
CaCsReErO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Er,1.62,1.62,-3.77,85.85,674.45,1.60,-3.75,0.33,1.57,0.47,3.16,12.14,17.96,0.05,0.51,0.19,0.12,1.004
CaCsReGdO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Gd,1.61,1.61,-3.78,83.95,676.35,1.92,-3.44,0.35,1.55,0.62,3.30,3.70,9.52,0.00,0.53,0.19,0.14,0.993
CaCsReLuO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Lu,1.78,1.78,-3.60,118.40,641.90,1.83,-3.53,0.31,1.59,0.35,3.03,8.61,14.43,0.05,0.50,0.19,0.11,1.011
CaCsReYbO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Yb,1.18,1.18,-4.21,78.45,681.85,2.13,-3.23,0.40,1.50,0.45,3.14,3.88,1.95,1.70,0.51,0.19,0.11,1.009
CaCsReYO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,Re,6,Y,1.41,1.41,-3.97,72.35,687.95,1.46,-3.89,0.34,1.56,0.13,2.81,11.89,17.71,0.05,0.52,0.19,0.13,1.002
CaCsWAlO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,2.52,0.41,0.19,0.02,1.082
CaCsWDyO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Dy,1.00,1.00,-3.51,98.90,671.10,1.08,-3.33,0.57,1.79,0.47,3.20,22.32,56.28,2.44,0.54,0.19,0.11,0.987
CaCsWErO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Er,1.18,1.18,-3.33,90.70,679.30,1.13,-3.28,0.56,1.80,0.45,3.18,24.25,54.35,2.45,0.53,0.19,0.10,0.992
CaCsWEuO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Eu,0.89,0.89,-3.62,111.45,658.55,1.42,-2.98,0.58,1.78,0.60,3.34,33.70,44.90,0.00,0.55,0.19,0.12,0.979
CaCsWInO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,In,1.00,1.00,-3.51,105.85,664.15,1.96,-2.45,0.29,2.07,0.34,2.39,20.78,57.82,2.97,0.50,0.19,0.07,1.014
CaCsWTbO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Tb,1.01,1.01,-3.50,102.80,667.20,1.02,-3.39,0.63,1.73,0.58,3.31,32.96,45.64,2.44,0.54,0.19,0.12,0.985
CaCsWTlO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Tl,1.07,1.07,-3.44,90.35,679.65,1.92,-2.48,0.37,1.99,0.25,2.49,23.86,54.74,1.57,0.53,0.19,0.10,0.993
CaCsWYbO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Yb,0.74,0.74,-3.77,83.30,686.70,1.65,-2.75,0.63,1.73,0.43,3.16,40.27,38.33,0.01,0.52,0.19,0.10,0.997
CaCsWYO6,Ca,2,Cs,1,0.83,-2.94,107.05,482.75,0.61,-1.34,0.10,0.90,0.65,3.66,21.57,23.94,W,6,Y,0.97,0.97,-3.53,77.20,692.80,0.99,-3.42,0.57,1.79,0.10,2.84,24.50,54.10,2.44,0.54,0.19,0.11,0.990
CaFeO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Fe,4,Fe,0.00,0.00,-4.43,0.00,759.30,0.00,-0.94,0.00,1.83,0.00,2.11,0.00,15.70,0.00,0.42,0.00,0.00,0.976
CaGeO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ge,4,Ge,0.00,0.00,-3.89,0.00,762.10,0.00,-0.53,0.00,2.01,0.00,1.56,0.00,116.00,0.44,0.38,0.00,0.00,1.004
CaHfO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Hf,4,Hf,0.00,0.00,-2.78,0.00,675.40,0.00,-2.77,0.00,1.30,0.00,2.91,0.00,17.00,3.66,0.51,0.00,0.00,0.918
CaIrO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Ir,4,Ir,0.00,0.00,-5.66,0.00,878.00,0.00,-0.96,0.00,2.20,0.00,2.63,0.00,151.00,0.00,0.45,0.00,0.00,0.957
CaLaCaRuO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Ca,2,Ru,0.09,0.09,-3.68,60.65,650.45,0.68,-1.27,0.60,1.60,0.20,2.80,49.32,51.69,0.00,0.56,0.03,0.16,0.902
CaLaCaTaO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Ca,2,Ta,0.06,0.06,-3.71,85.75,675.55,0.80,-2.75,0.25,1.25,0.10,2.90,14.32,16.69,2.54,0.59,0.03,0.13,0.886
CaLaCoNbO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Co,3,Nb,0.09,0.09,-4.53,47.30,711.10,1.84,-2.68,0.14,1.74,0.37,2.39,11.20,75.00,0.02,0.46,0.03,0.03,0.962
CaLaFeTiO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Fe,3,Ti,0.03,0.03,-4.40,50.65,708.65,1.64,-2.59,0.15,1.69,0.24,2.34,4.05,11.65,0.01,0.45,0.03,0.01,0.972
CaLaFeVO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Fe,3,V,0.02,0.02,-4.45,54.50,704.80,1.71,-2.65,0.10,1.73,0.16,2.27,17.50,33.20,0.26,0.44,0.03,0.02,0.978
CaLaMgMoO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Mg,2,Mo,0.24,0.24,-4.47,26.40,711.30,1.38,-2.70,0.43,1.74,0.35,2.38,56.00,16.00,0.00,0.48,0.03,0.04,0.953
CaLaMnFeO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Mn,3,Fe,0.00,0.00,-4.44,20.95,738.35,0.06,-1.00,0.14,1.69,0.06,2.17,32.85,-17.15,0.04,0.44,0.03,0.02,0.976
CaLaMnRuO6,Ca,2,La,3,0.44,-3.33,25.85,563.95,0.47,-2.41,0.05,1.05,0.04,3.04,23.82,26.19,Mn,3,Ru,0.43,0.43,-4.01,3.15,714.25,0.23,-0.83,0.33,1.88,0.19,2.41,75.50,25.50,0.00,0.45,0.03,0.01,0.968
CaMnO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mn,4,Mn,0.00,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,0.00,0.38,0.00,0.00,1.004
CaMnTi2O6,Ca,2,Mn,3,0.34,-4.11,63.80,653.60,0.44,-1.50,0.28,1.28,0.39,2.61,26.19,-23.82,Ti,3,Ti,0.00,0.00,-4.37,0.00,658.00,0.00,-4.23,0.00,1.54,0.00,2.58,0.00,7.60,1.57,0.46,0.11,0.02,0.898
CaMoO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Mo,4,Mo,0.00,0.00,-4.23,0.00,684.90,0.00,-4.08,0.00,2.16,0.00,2.72,0.00,72.00,0.00,0.46,0.00,0.00,0.945
CaNbO3,Ca,2,Ca,2,0.00,-3.77,0.00,589.80,0.00,-1.95,0.00,1.00,0.00,3.00,0.00,2.37,Nb,4,Nb,0.00,0.00,-4.62,0.00,663.80,0.00,-4.51,0.00,1.60,0.00,2.76,0.00,86.20,0.13,0.49,0.00,0.00,0.931
CaNdCaNbO6,Ca,2,Nd,3,0.39,-3.37,30.05,559.75,0.47,-2.41,0.07,1.07,0.50,3.50,3.52,5.89,Ca,2,Nb,0.42,0.42,-4.19,37.00,626.80,1.28,-3.23,0.30,1.30,0.12,2.88,41.92,44.29,2.84,0.59,0.00,0.13,0.871
CaNdCaRuO6,Ca,2,Nd,3,0.39,-3.37,30.05,559.75,0.47,-2.41,0.07,1.07,0.50,3.50,3.52,5.89,Ca,2,Ru,0.09,0.09,-3.68,60.65,650.45,0.68,-1.27,0.60,1.60,0.20,2.80,49.32,51.69,0.00,0.56,0.00,0.16,0.886
